Name,IATA,ICAO,Callsign,Country,Active
Silver Airways (3M),3M,\N,Silver Wings,United States,Y
ATA Airlines (Iran),I3,\N,ATALAR,Iran,Y
VIA Líneas Aéreas,V1,VIA,,Argentina,Y
Palair Macedonia,3D,PMK,,Macedonia,N
Palair Macedonia (3D),3D,\N,,Macedonia,N
GermanXL,GX,GXG,,Germany,Y
Fly France,FF,FRF,,France,Y
Europe Jet,EX,EU9,,France,Y
Deutsche Luftverkehrsgesellschaft (DLT),DW,DWD,,Germany,N
Atlantic Air Cargo,K3,\N,,United States,N
World Scale Airlines,W3,WSS,,United States,Y
All America US,AG,SSA,,United States,Y
BudgetAir,1K,BG1,,Germany,Y
Fly One,F5,FI5,,Moldova,Y
Nordica,EE,\N,REVAL,Estonia,Y
Dummy,0E,\N,,France,N
All America BOPY,0P,PYB,BOPY,Paraguay,Y
Air Andaman (2Y),2Y,AOW,AIR ANDAMAN,Thailand,N
Jetgo Australia,JG,\N,,Australia,Y
Air Carnival,2S,\N,,India,Y
Svyaz Rossiya,7R,SJM,RussianConnecty,Russia,Y
